,Own Investment Property,Identify as Investor,Identify as Real Estate Investor,Take Care Others Financially,Interested in Investment/Real Estate,Insight Report,Newsletter,Residential,Net Worth,Residential Properties,Know Steps to Manage Money,Primary Person Charge Finances,Survey From,Female,Generation,Born,Currently Live,Immigration Status,Ethnicity,Annual Income,Marital Status,Highest Education,Parents Highest Education,Checkings Bank Account,High Yield Savings,US Treasury Bonds,Individual Stocks or Bonds,Mutual Funds or ETFs,Money Market Funds or CDs,ESG/Sustainable Investments,Gold/Silver,Cryptocurrency,Real Estate,Private Businesses,No One,Coworkers,Family,In person Groups,Social Media,"Seminars, Trainings","Undergraduate, Graduate Courses",Balancing a checkbook,Managing a household budget,Making a large purchase,Managing a loan 500k +,Selecting investments that align with my goals,Making a financial plan,Planning for retirement,Buying a single family home,Buying a commercial property,Operating a Short/Mid/Long term rental,Operating multiple Short/Mid/Long term rental,No Start,Time Barrier,Analysis Paralysis Barrier,Self-Confidence Barrier
0,0,1,0,0,1,1,1,1,5,0,2,0,"Subtle Asian Real Estate (FB group), SARE Ladies Newsletter",1,1,Japan,Pacific,Naturalized Immigrant,Asian-Japanese,0,Single,4,7,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,1
1,1,1,1,1,1,1,1,0,2,7,3,3,Subtle Asian Real Estate (FB group),1,1,Hong Kong,Pacific,Naturalized Immigrant,Asian-Chinese,0,Single,0,3,1,1,0,1,1,1,0,0,1,1,1,0,0,0,1,1,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1,1,1,1
2,0,1,0,1,0,0,0,1,2,2,0,3,Friend ,1,2,Japan,Pacific,Immigrant,Asian-Japanese,3,Married,0,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1,1,0,0
3,0,1,0,0,1,1,1,1,0,0,2,3,Subtle Asian Real Estate (FB group),1,1,"NY, USA",Northeast,First Gen Citizen,Asian-Chinese,3,Single,0,3,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,1,1,1,1
4,1,1,1,1,1,1,1,1,0,2,0,3,Subtle Asian Real Estate (FB group),1,1,Vietnam,South,Naturalized Immigrant,Asian-Chinese,3,Single,4,3,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,1,0,0
5,0,1,0,1,1,0,1,1,6,0,0,3,SARE Ladies Newsletter,1,1,"NJ, USA",South,First Gen Citizen,Asian-Vietnamese,0,Living with partner,4,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1,1,1,1
6,1,1,1,1,1,1,1,1,2,12,0,2,Subtle Asian Real Estate (FB group),1,1,"CA, USA",Pacific,First Gen Citizen,Asian-Chinese,0,Married,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,1,0,0
7,0,1,1,1,1,1,1,1,2,0,0,0,Subtle Asian Real Estate (FB group),1,0,"HI, USA",Pacific,First Gen Citizen,Asian-Chinese,3,Living with partner,4,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,1,1
8,1,1,1,1,1,1,1,1,8,9,3,3,SARE Ladies Newsletter,1,2,Cambodia,Pacific,Naturalized Immigrant,Asian-Chinese,0,Married,3,5,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1,0,0,0
9,1,1,1,0,1,1,1,1,0,3,1,1,Subtle Asian Real Estate (FB group),0,1,"CA, USA",Pacific,First Gen Citizen,NonAsian-Other,2,Single,0,1,1,0,0,1,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1,1,1
10,1,1,1,0,1,1,1,1,0,1,0,3,Subtle Asian Real Estate (FB group),0,1,"CA, USA",Pacific,First Gen Citizen,Asian-Filipino,0,Living with partner,4,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,0,1,1
11,0,-9223372036854775808,-9223372036854775808,0,1,1,0,1,8,0,2,0,Subtle Asian Real Estate (FB group),1,1,,Northeast,Immigrant,,2,Married,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1,1,0,0
12,1,0,1,1,1,1,1,1,7,3,0,2,Subtle Asian Real Estate (FB group),1,1,Taiwan,Midwest,Naturalized Immigrant,Asian-Taiwanese,3,Married,4,2,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,1,1,0
13,1,1,1,1,1,1,1,1,0,3,2,3,"Subtle Asian Real Estate (FB group), SARE Ladies Newsletter",1,2,Philippines,Pacific,Naturalized Immigrant,Asian-Filipino,2,Married,4,6,1,1,0,1,0,0,0,0,1,1,1,0,0,0,1,1,1,0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1,1,0,1
14,1,1,1,1,1,1,1,0,2,4,0,0,Subtle Asian Real Estate (FB group),0,1,"CA, USA",Pacific,Third+ Gen Citizen,Asian-Chinese,2,Single,4,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1,1,0,0
15,1,1,1,1,1,1,1,1,7,7,3,3,Subtle Asian Real Estate (FB group),0,1,Not Specified,Pacific,First Gen Citizen,Asian-Chinese,2,Single,0,3,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,1,1
16,1,1,1,0,1,1,1,1,4,2,0,2,Subtle Asian Real Estate (FB group),0,1,Malaysia,Pacific,Naturalized Immigrant,Asian-Chinese,2,Single,4,7,1,1,0,1,1,0,0,0,1,1,1,0,1,0,1,1,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,1,0
17,1,1,1,0,1,1,0,1,4,10,3,0,Subtle Asian Real Estate (FB group),0,1,South Korea,Pacific,Naturalized Immigrant,Asian-Korean,0,,4,1,1,0,0,1,0,0,0,1,1,1,1,0,0,0,1,1,0,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,0
18,1,1,1,1,1,1,0,1,0,4,0,3,SARE Ladies Newsletter,0,1,China,Pacific,Naturalized Immigrant,Asian-Chinese,0,Single,4,2,1,1,0,1,1,0,0,0,1,1,0,0,0,0,1,1,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,1,0,1
19,0,1,1,0,-9223372036854775808,1,1,1,5,1,0,3,Subtle Asian Real Estate (FB group),1,1,"CA, USA",Pacific,First Gen Citizen,Asian-Taiwanese,0,Living with partner,4,7,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,0,0,0
20,1,1,1,1,1,1,1,1,3,3,0,0,Subtle Asian Real Estate (FB group),0,2,"CA, USA",Pacific,First Gen Citizen,Asian-Chinese,1,Married,0,1,1,0,0,1,1,0,0,0,0,1,1,0,0,1,1,1,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1,0,1
21,1,1,1,1,1,1,1,1,2,2,0,0,Subtle Asian Real Estate (FB group),0,1,China,Pacific,First Gen Citizen,Asian-Chinese,2,Single,4,3,1,1,0,1,1,0,0,0,1,1,1,0,0,1,1,1,0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,0
22,1,1,1,1,1,1,0,0,8,5,0,3,Subtle Asian Real Estate (FB group),0,0,Not Specified,South,First Gen Citizen,Asian-Taiwanese,2,Single,4,7,0,0,0,0,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0,1,0,0
23,0,0,0,0,1,1,1,1,0,0,2,3,Subtle Asian Real Estate (FB group),1,1,Not Specified,Pacific,First Gen Citizen,Asian-Chinese,0,Single,4,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1
24,1,1,1,1,1,1,1,0,3,14,3,3,Subtle Asian Real Estate (FB group),1,2,Cambodia,Pacific,Naturalized Immigrant,Asian-Other,2,Widowed ,4,3,1,0,0,1,1,1,0,1,0,1,0,0,0,1,1,1,1,0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1,1,0,0
25,1,1,1,1,1,0,0,1,4,3,0,0,Subtle Asian Real Estate (FB group),0,1,"CA, USA",Pacific,Second Gen Citizen,Asian-Chinese,1,Married,0,3,1,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0
26,0,1,1,1,1,1,1,1,5,0,4,3,Subtle Asian Real Estate (FB group),1,1,"NY, USA",South,First Gen Citizen,Asian-Taiwanese,3,Single,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1
27,1,1,1,1,1,1,1,0,3,10,3,0,SARE ladies messenger group,1,2,Vietnam,Pacific,Naturalized Immigrant,Asian-Chinese,0,Married,0,4,1,0,0,1,1,1,0,0,0,1,1,0,0,0,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1,1,1,0
28,1,1,1,0,1,1,1,1,0,1,0,0,Subtle Asian Real Estate (FB group),0,1,"WA, USA",Pacific,First Gen Citizen,Asian-Chinese,4,Living with partner,4,2,1,1,0,1,1,0,0,0,1,1,1,0,1,1,1,1,1,0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1,0,0
29,1,1,1,1,1,1,-9223372036854775808,1,0,3,0,3,"Subtle Asian Real Estate (FB group), SARE Ladies Newsletter",1,1,Philippines,Pacific,Second Gen Citizen,Asian-Filipino,2,Divorced,4,7,1,0,0,1,1,0,0,0,1,1,0,0,1,0,1,1,1,0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1,0,1,0
30,0,0,0,0,1,1,1,1,6,0,1,2,Subtle Asian Real Estate (FB group),1,1,"MN, USA",Midwest,First Gen Citizen,Asian-Chinese,3,Single,4,2,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1
31,0,1,0,1,1,1,1,1,6,2,0,3,Subtle Asian Real Estate (FB group),1,2,"TX, USA",South,Third+ Gen Citizen,NonAsian-Other,4,Married,0,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,1,1,1,1,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,1,1,1
32,1,0,1,1,1,1,1,0,2,4,0,3,SARE Pod,0,1,Germany,Midwest,Naturalized Immigrant,Asian-Chinese,0,Married,1,7,1,0,0,1,0,0,0,0,1,1,1,0,0,1,1,1,1,0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1,1,1
33,0,0,0,1,1,1,1,1,2,4,1,0,Compass AAPI Workplace Group,1,2,South Korea,Northeast,Naturalized Immigrant,Asian-Korean,2,Married,4,7,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1,1,1
34,0,0,0,1,1,1,1,1,3,4,2,3,SARE Ladies Newsletter,1,3,Vietnam,Pacific,Naturalized Immigrant,Asian-Vietnamese,1,Divorced,4,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1,1,1,1
35,1,1,1,1,1,1,1,1,1,7,0,0,Subtle Asian Real Estate (FB group),0,1,"TX, USA",South,First Gen Citizen,Asian-Korean,1,Living with partner,4,2,1,0,1,1,0,0,0,0,1,1,0,0,0,1,0,1,1,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1,1,0,0
36,1,0,0,1,1,1,0,1,0,2,0,2,Subtle Asian Real Estate (FB group),1,0,Vietnam,South,Immigrant,Asian-Vietnamese,3,Married,4,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,1,0,0
37,1,1,1,0,1,1,0,1,4,4,0,0,Gary V messages ,0,1,"CA, USA",South,First Gen Citizen,Asian-Vietnamese,1,Single,0,6,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1,0,0
38,0,0,0,0,1,1,1,1,0,1,2,2,"Subtle Asian Real Estate (FB group), Asian Investment Network (FB group), SARE Ladies Newsletter",1,0,"CA, USA",Pacific,First Gen Citizen,Asian-Other,3,Single,4,6,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,1,0,0,1
39,1,1,1,0,1,0,0,0,0,1,0,0,"Subtle Asian Real Estate (FB group), SARE Ladies Newsletter",1,1,Taiwan,South,Naturalized Immigrant,Asian-Taiwanese,0,Single,4,2,0,1,0,1,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1,1,0,0
40,1,1,1,1,1,1,1,0,4,0,2,0,"Subtle Asian Real Estate (FB group), SARE Ladies Newsletter",1,1,Not Specified,Pacific,First Gen Citizen,Asian-Chinese,3,Married,4,3,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1,1,1,1
41,1,1,1,1,1,1,1,0,3,8,3,3,Subtle Asian Real Estate (FB group),1,2,Vietnam,South,Naturalized Immigrant,Asian-Other,2,Married,2,2,1,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,1,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1,1,0,0
42,1,1,1,1,1,1,0,0,2,6,0,3,Subtle Asian Real Estate (FB group),0,1,"CA, USA",Texas,First Gen Citizen,Asian-Taiwanese,2,Married,0,1,1,1,0,1,1,1,0,0,1,1,1,0,0,1,0,1,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1,0,0
43,1,1,0,0,1,1,1,0,1,196,3,3,Subtle Asian Real Estate (FB group),0,1,"NY, USA",South,First Gen Citizen,Asian-Chinese,4,Single,0,3,1,0,0,1,1,0,1,0,1,1,1,0,0,0,1,1,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1,1,0,0
44,1,1,1,0,1,1,1,1,5,5,0,3,Subtle Asian Real Estate (FB group),0,1,"TX, USA",South,First Gen Citizen,Asian-Taiwanese,0,Single,4,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,1,0,0
45,1,0,0,0,1,1,1,1,2,2,2,0,Subtle Asian Real Estate (FB group),0,1,Not Specified,Pacific,Second Gen Citizen,Asian-Japanese,2,Married,4,7,1,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1,1,0,0
46,1,1,1,1,1,1,1,1,1,5,0,0,Subtle Asian Real Estate (FB group),0,1,Not Specified,Northeast,Naturalized Immigrant,Asian-Other,2,Single,4,3,1,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0
47,1,1,1,1,1,1,1,0,2,6,3,3,SARE Ladies Newsletter,1,1,South Korea,Pacific,Naturalized Immigrant,Asian-Korean,2,Married,4,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1,1,0,0
